Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Production Engineer,Aditya Solutions,0.0,2.0,Mumbai(Jogeshwari East),"Basic knowledge of electronics, PCB soldering, and assembly; familiarity with schematic...","Production Management, Production Engineering, Production Planning, Soldering, Quality Control, Fault Finding, Problem Solving, SMD",23,https://www.naukri.com/job-listings-production-engineer-aditya-solutions-mumbai-0-to-2-years-261124019726
Market Equipment Executive,Varun Beverages Limited,0.0,2.0,Mumbai,Role & responsibilities 1. Assist in managing the equipment availability.2. Collaborat...,"Inventory Management, Vendor Coordination, Store Operations, Stock Management, Store Management, Coordination, Stock, Store Operation",27,https://www.naukri.com/job-listings-market-equipment-executive-varun-beverages-limited-mumbai-0-to-4-years-221124009595
Business Development Executive,IndiaMART,0.0,4.0,"Mumbai, Mumbai Suburban, Mumbai (All Areas)","Collaborate with internal teams (e.g., sales, marketing) to develop strategies for clos...","sales, Communication Skills, Direct Sales, Field Sales, Convincing Power, Field Work, Sales Executive Activities, Development",2,https://www.naukri.com/job-listings-business-development-executive-indiamart-mumbai-mumbai-suburban-mumbai-all-areas-0-to-1-years-171224012804
BE/B-Tech/MBA- Freshers (Mumbai),IndiaMART,0.0,3.0,"Mumbai, Navi Mumbai, Mumbai (All Areas)",Freshers with Bachelors degreeShould have laptop / internet/androidShould have own vehi...,"Sales, Client Acquisition, B2B Sales, Field Sales, Client, Acquisition, B2B, Field",0,https://www.naukri.com/job-listings-be-b-tech-mba-freshers-mumbai-indiamart-mumbai-navi-mumbai-mumbai-all-areas-0-to-2-years-141224008991
Home Automation Programmer KNX/Crestron/Lutron,Gran Via Automation,4.0,11.0,Navi Mumbai,Preferred candidate profile . Must be KNX Certified as well as Crestron / Lutron,"KNX, Programmer, Office Automation, LUTRON, Home Automation, AutoCAD, Lighting Control, CRESTRON",5,https://www.naukri.com/job-listings-home-automation-programmer-knx-crestron-lutron-gran-via-automation-navi-mumbai-4-to-9-years-141224007849
Home Automation - Sales & Marketing Head,Gran Via Automation,8.0,20.0,"Navi Mumbai, Mumbai (All Areas)(Matunga East)",Preferred candidate profile The Sales & Marketing Business Head will spearhead efforts ...,"Home Automation, Marketing to Architects, KNX CRESTRON LUTRON, Strong network and experience in promoting automation, LED Sales, Lighting Controls, Sales, Lighting",5,https://www.naukri.com/job-listings-home-automation-sales-marketing-head-gran-via-automation-navi-mumbai-mumbai-all-areas-8-to-12-years-141224006252
Urgent Opening For Shift Engineer,ISS India,1.0,2.0,Mumbai(Malad),Principal ResponsibilitiesTo manage and monitor technical operation on daily for all u...,"HVAC, Chiller Plant, DG Sets, Transformers, Ahu, UPS, LT Panels, Plant",5,https://www.naukri.com/job-listings-urgent-opening-for-shift-engineer-iss-india-mumbai-1-to-2-years-131224018927
Design Engineer,Secure Industries,4.0,7.0,Navi Mumbai,"Degree or Diploma in Mechanical, Production, or Plastic Engineering from reputed instit...","AutoCAD, Design For Manufacturing, Creo, geometric dimensioning and tolerancing, PPC, Design, Manufacturing, Design engineering",6,https://www.naukri.com/job-listings-design-engineer-secure-industries-navi-mumbai-4-to-9-years-131224004293
Contracts Manager,Reliance Industries (RIL),8.0,17.0,Navi Mumbai,Roles and ResponsibilitiesManage contract negotiations with vendors to ensure favorable...,"Contract Negotiations, SAP, Contract Management, Vendor Management, Vendor, Negotiation, Management, Contracts",8,https://www.naukri.com/job-listings-contracts-manager-reliance-industries-ril-navi-mumbai-8-to-13-years-111224003618
Urgent opening Sales Manager.,M/s Alphatec Audio Video,5.0,9.0,"Indore, Ahmedabad, Mumbai (All Areas)",Certification Should be familiar with the institutional Sales -Education. B-tech / ad...,"Sales, Solution Sales, Av Sales, Enterprise Sales, Enterprise, Management, AV",9,https://www.naukri.com/job-listings-urgent-opening-sales-manager-m-s-alphatec-audio-video-indore-ahmedabad-mumbai-all-areas-5-to-10-years-110924009933
Project Planner,Ultra Gas & Energy Limited (Essar Group),2.0,10.0,Mumbai,PMP certification and proficiency in Excel; experience in project management and supply...,"PMP, Planning, Excel, PMP Trained, Supply Chain Management, Primavera, Planning Engineering, Engineering",15,https://www.naukri.com/job-listings-project-planner-ultra-gas-energy-limited-essar-group-mumbai-2-to-4-years-101024019187
Saipoint IIQ (Development & Implementation),KPMG Assurance and Consulting Services LLP,5.0,17.0,"Gurugram, Mumbai (All Areas)",Collaborate with teams to analyze business requirements and deliver appropriate solutio...,"SailPoint IIQ, Java, Identity Access Management, Beanshell, Sailpoint Development, IAM, Sailpoint, Identityiq",9,https://www.naukri.com/job-listings-saipoint-iiq-development-implementation-kpmg-assurance-and-consulting-services-llp-gurugram-mumbai-all-areas-5-to-10-years-091224017940
Cancer Care Specialist (Oncology),Glenmark Pharmaceuticals,5.0,11.0,"Mumbai, Ahmedabad, Delhi / NCR",. Job Requirement : . Education : Graduate in Life Sciences / Pharmacy Required pre-req...,"Pharmaceutical Sales, Pharma Selling, Territory Sales, Medical Rep, Area Sales, Area Sales Management, Oncology, Critical Care",14,https://www.naukri.com/job-listings-cancer-care-specialist-oncology-glenmark-pharmaceuticals-mumbai-ahmedabad-delhi-ncr-5-to-8-years-051224000030
AM/DM- Commercial,Lodha Group,8.0,14.0,"Mumbai, Mumbai (All Areas)",Added advantage: Post GraduatePractice : BTech / BE/Diploma in Civil Engineering with 8...,"Contract Administration, QS, Billing, Ams, Commercial, Contracts, Dm, Administration",15,https://www.naukri.com/job-listings-am-dm-commercial-lodha-group-mumbai-mumbai-all-areas-8-to-13-years-041224006056
Planning Manager,Lodha Group,6.0,14.0,"Mumbai, Mumbai (All Areas)",Study / understand all relevant documents / conditions pertaining to the project and de...,"Primavera, Project Planning, MS Project, Planning Management, Project, Management, Planning, Microsoft",15,https://www.naukri.com/job-listings-planning-manager-lodha-group-mumbai-mumbai-all-areas-6-to-11-years-041224005862
Customer Support Representative,Teleperformance (TP),0.0,1.0,Mumbai Suburban,Responsibilities: We are Hiring for International Voice Process only for location Malad...,"Customer Service Operations, Customer Support, Customer Service, Customer Service Management, Us Voice Process, Customer Handling, International Voice Process, Service management",17,https://www.naukri.com/job-listings-customer-support-representative-teleperformance-tp-mumbai-suburban-0-to-1-years-021224010169
Manager Transportation Supply Chain,Croma,5.0,15.0,Mumbai,"Skills & Competencies . - Working knowledge of MS Office Utilities Excel, Power point, ...","Transport Management, Line Haul, Transportation Planning, Distribution Planning, Route Planning, Distribution, Route3, Transportation",13,https://www.naukri.com/job-listings-manager-transportation-supply-chain-croma-mumbai-5-to-10-years-061224019946
Siebel Technical Lead,Conduent,6.0,12.0,"Noida, Hyderabad, Bengaluru","Experienced Siebel Technical Lead with expertise in Siebel Configuration, Scripting, an...","Siebel EAI, End To End Implementation, Siebel Configuration, Siebel Scripting, Siebel Workflows, CSS, Siebel Workspace Management, Javascript",1,https://www.naukri.com/job-listings-siebel-technical-lead-conduent-noida-hyderabad-bengaluru-6-to-10-years-181224007172
Java Full Stack Developer,Wipro,7.0,23.0,"Bengaluru, Greater Noida","7-11 years of experience in Java development with expertise in Springboot, Microservice...","Spring Boot, Java Fullstack, React.Js, Spring, Boot, Development, Full Stack, Java",20,https://www.naukri.com/job-listings-java-full-stack-developer-wipro-bengaluru-greater-noida-7-to-12-years-291124006227
BigData Administrator,CGI Information Systems And Management Consultants,5.0,12.0,"Hyderabad, Bengaluru",Job Title: BigData AdministratorLocation: Bangalore / HyderabadYears of Experience: Ex...,"Redhat Linux, Cloudera Hadoop, Shell Scripting, Spark, Troubleshooting, Administration, Hive, YARN",15,https://www.naukri.com/job-listings-bigdata-administrator-cgi-information-systems-and-management-consultants-hyderabad-bengaluru-5-to-8-years-041224001426
C++ QT Developer/Specialist - Automotive,Tata Elxsi,6.0,19.0,Bengaluru,"4-6 years experience in UI software architecture, C/C++, and embedded systems; proficie...","c++, QT, linux, Automotive, Infotainment, QML, Development, C++ QT",16,https://www.naukri.com/job-listings-c-qt-developer-specialist-automotive-tata-elxsi-bengaluru-6-to-10-years-291024015593
Autosar Developer,Tata Elxsi,3.0,1.0,Bengaluru,Candidates must have Must have skillsExperience : 3+ yr. Hands on experience on Vector...,"AUTOSAR, Diagnostics, Com Stack, Stack, AUTOSAR Development, Com, Development",30,https://www.naukri.com/job-listings-autosar-developer-tata-elxsi-bengaluru-3-to-8-years-281024011382
API Automation with Playwright,Tech Mahindra,5.0,9.0,"Hyderabad, Bangalore Rural, Chennai","The ideal candidate should have 5-8 years of experience in designing, developing, and e...","Api Automation, Rest Assured, Playwright, sql, API, Automation, Rest",22,https://www.naukri.com/job-listings-api-automation-with-playwright-tech-mahindra-hyderabad-bangalore-rural-chennai-5-to-10-years-271124008742
Adaptive Autosar Developer,Tata Elxsi,5.0,1.0,Bengaluru,Candidate must have Experience : 5+ yrsExperience and Strong Hands-on on Adaptive AUTOS...,"C++, Adaptive autosar, QNX, AUTOSAR, Development, Adaptability",16,https://www.naukri.com/job-listings-adaptive-autosar-developer-tata-elxsi-bengaluru-5-to-8-years-260824009369
Back End Developer,Unacademy,1.0,20.0,Bengaluru,The ideal candidate should have min2+years of experience in developing web applications...,"MongoDB, Core Java, Aws Cloud, Spring Boot, End, Core, Development, Boot",24,https://www.naukri.com/job-listings-back-end-developer-unacademy-bengaluru-1-to-5-years-251124008597
Model Based Design Engineers/ Specialists/ Leads - Automotive,Tata Elxsi,5.0,17.0,"Bengaluru, Thiruvananthapuram",Experience: 4 to 15 years,"Stateflow, Tpt, Simulink, Matlab, Targetlink, Design, Design engineering, Leadership",6,https://www.naukri.com/job-listings-model-based-design-engineers-specialists-leads-automotive-tata-elxsi-bengaluru-thiruvananthapuram-5-to-10-years-231024012902
Autosar Developer,Tata Elxsi,5.0,1.0,"Bengaluru, Thiruvananthapuram","5+ years of experience in Autosar development with skills in UDS, Diagnostics, and OBD|...","AUTOSAR, Diagnostics, UDS, Development, AUTOSAR Development",20,https://www.naukri.com/job-listings-autosar-developer-tata-elxsi-bengaluru-thiruvananthapuram-5-to-10-years-201124012446
Support Engineer,TeamLease,2.0,2.0,Bengaluru,. Education: BTech or Computer Science graduateNotice Period: Immediate joiners or a ma...,"Java, CSS, SQL Queries, HTML, SQL Coding, Query, SQL, Cs",0,https://www.naukri.com/job-listings-support-engineer-teamlease-bengaluru-2-to-3-years-191224016101
EV HILS Requirement,Tata Elxsi,5.0,15.0,Bengaluru,System Validation EngineerThe candidate has to have a good understanding of EV system ...,"HIL, Charging, Electric Vehicle, SIL, Ev, Requirements, Electricals, Vehicle",0,https://www.naukri.com/job-listings-ev-hils-requirement-tata-elxsi-bengaluru-5-to-8-years-191224011788
CAD Draftsman - Manufacturing Engineering,Exide,3.0,8.0,Bengaluru,Position: CAD Draftsman - Manufacturing Engineering Role:The Cell Manufacturing Engine...,"Design, drafting, Verification And Validation, CAD, Documentation, Verification, Data validation, Data validation",30,https://www.naukri.com/job-listings-cad-draftsman-manufacturing-engineering-exide-bengaluru-3-to-5-years-191124022199
Adaptive Autosar Developer,Tata Elxsi,5.0,1.0,Bengaluru,Candidate must have Experience : 5+ yrs . Experience and Strong Hands-on on Adaptive AU...,"C++, Adaptive autosar, QNX, AUTOSAR, Development, Adaptability",20,https://www.naukri.com/job-listings-adaptive-autosar-developer-tata-elxsi-bengaluru-5-to-10-years-191124018187
Quality Engineer,Lloyds Technology Centre,6.0,25.0,Hyderabad,You have good knowledge of modern software development toolsets including cloud hosting...,"Github, Playwright, Ci/Cd, Web Automation Testing, Jenkins, Harness, Burp Suite, Load Runner",1,https://www.naukri.com/job-listings-quality-engineer-lloyds-technology-centre-hyderabad-6-to-11-years-181224016775
Devops Engineer,Lloyds Technology Centre,2.0,13.0,Hyderabad,You have good knowledge of modern software development toolsets including cloud hosting...,"GCP, Devops, Kubernetes, Jenkins, GKE adminstration, Terraform, Shell Scripting, Powershell",1,https://www.naukri.com/job-listings-devops-engineer-lloyds-technology-centre-hyderabad-2-to-7-years-181224016226
Urgent Opening For Data Analytics with Celonis process mining,Creative Synergies,5.0,13.0,Bengaluru(Whitefield),"Dear Candidates, We are looking for 5+ years of experience in Celonis Process Mining wi...","Celonis, Power Bi, Process Mining, Data Analytics, Data, Analytics, Bi, Data mining",1,https://www.naukri.com/job-listings-urgent-opening-for-data-analytics-with-celonis-process-mining-creative-synergies-bengaluru-5-to-9-years-181224014971
Site Safety Supervisor,GSH Group,4.0,3.0,"Bengaluru, Doddabalapura, Banga",Flexible to work on shifts and job rotations. Experience: 3 To 8 Years,"Safety Officer Activities, Safety Engineering, Fire Alarm System, Fire Safety, Industrial Safety, Fire, Safety Management, Work permits",1,https://www.naukri.com/job-listings-site-safety-supervisor-gsh-group-bengaluru-doddabalapura-banga-4-to-6-years-181224013733
Geometrical Assurance Engineer,Quest Global,3.0,7.0,Bengaluru,"Experience Level: 5 to 10 years. Technical Knowledge Expectation: . 3-2-1 principle, GD...","CATIA, GD & T, Tolerance Analysis, Product Development, Analysis, Development, Assurance, Tolerance",1,https://www.naukri.com/job-listings-geometrical-assurance-engineer-quest-global-bengaluru-3-to-6-years-181224012863
Site Civil Supervisor,GSH Group,4.0,3.0,"Bengaluru, Doddabalapura, Banga",Flexible to work on shifts and job rotationsExperience: 3 To 8 YearsGood Knowledge to c...,"Civil Engineering, Civil Supervision, Construction Site, Site Supervision, Civil Site Engineering, Site, Construction, Site engineering",1,https://www.naukri.com/job-listings-site-civil-supervisor-gsh-group-bengaluru-doddabalapura-banga-4-to-6-years-181224012748
Backend Developer-Django with Python and Rest API,Creative Synergies,9.0,14.0,Bengaluru(Whitefield),"Dear Job Seekers, We are looking for candidates with 9+ years for experience in Backend...","rest Api, Django, Python, Backend, API, Rest",0,https://www.naukri.com/job-listings-backend-developer-django-with-python-and-rest-api-creative-synergies-bengaluru-9-to-12-years-181224007771
Angular Developer,Infosys,3.0,6.0,Bengaluru,"Experience in creating web applications for virtual and hybrid events, including collab...","angular, Node.Js, MongoDB, Angular Development, Development",1,https://www.naukri.com/job-listings-angular-developer-infosys-bengaluru-3-to-8-years-181224003959
Zonal Technical Manager,Muthoot Homefin India Limited (MHIL),6.0,14.0,Hyderabad,Preferred Candidates having experience in Technical Valuation in Affordable Home loans ...,"Technical Valuation, Technical, Zonal, Valuation, Management",2,https://www.naukri.com/job-listings-zonal-technical-manager-muthoot-homefin-india-limited-mhil-hyderabad-6-to-11-years-171224017488
Senior Data Engineer,TE Connectivity,7.0,17.0,Bengaluru,"Effective communication and collaboration skills, with the ability to work effectively ...","Azure Data Factory, Azure Databricks, Azure Data Lake, SQL Azure, SQL, Factory, Data Engineering, Senior",2,https://www.naukri.com/job-listings-senior-data-engineer-te-connectivity-bengaluru-7-to-11-years-171224011810
Python Developer,Capgemini,5.0,12.0,Bengaluru,"Role & responsibilities Looking for 5 to 8yrs of exp onesProficient in Python coding, ...","Jenkins, Terraform, Devops Tools, Python Development, Python, Shell Scripting, Devops, Development",2,https://www.naukri.com/job-listings-python-developer-capgemini-bengaluru-5-to-10-years-171224005358
Electrical Designer,Schneider Electric,0.0,4.0,Bengaluru(Attibele),Required Competencies: . Strong knowledge of Electrical engineering This is an entry-le...,"Electrical Design, AutoCAD, Creo, Design, Electricals",6,https://www.naukri.com/job-listings-electrical-designer-schneider-electric-bengaluru-0-to-1-years-131224010270
HCL Tech Hiring For transformation lead Agile Coach,HCLTech,8.0,11.0,"Chennai, Bengaluru, Delhi / NCR",Preferred Qualifications: . Certifications in Agile coaching or related fieldsStrong un...,"Scaled Agile Framework, Agile Coaching, Devops, Framework, Transformation, Hiring, Coaching, Agile",1,https://www.naukri.com/job-listings-hcl-tech-hiring-for-transformation-lead-agile-coach-hcltech-chennai-bengaluru-delhi-ncr-8-to-13-years-101224006202
Reliance Jio is Looking For Field Engineer ( Network & Operations),Jio,1.0,4.0,Hyderabad(Malakpet),Any Diploma Graduate /BE / BTech. 2- 4 Years of experience in Telecom Network Operation...,"NETWORK FIELD OPERATIONS, Troubleshooting, BACKHAUL, NET WORK, Telcom, vendor management, Team Coordination, ISP",1,https://www.naukri.com/job-listings-reliance-jio-is-looking-for-field-engineer-network-operations-jio-hyderabad-1-to-3-years-071124016209
Software Support Engineer || Bidadi Location,Bar Code India,3.0,6.0,Bengaluru,"Experience in SQL, .NET, and Angular; ability to communicate in Kannada|Provide softwar...",".net, Application Support, dot net, SQL, .Net Core, Asp.Net Core, Angular, Core",21,https://www.naukri.com/job-listings-software-support-engineer-bidadi-location-bar-code-india-bengaluru-3-to-5-years-041124009905
Autosar Developer,Tata Elxsi,5.0,1.0,Bengaluru,5+ years of experience in Autosar modules with strong debugging skills|Develop and debu...,"AUTOSAR, Autosar Development, Rte, Mcal, Development",16,https://www.naukri.com/job-listings-autosar-developer-tata-elxsi-bengaluru-5-to-10-years-031224012651
Head Production - FRP,Jindal Aluminium,15.0,20.0,Bangalore/Bengaluru(Dabaspete),Directing staff activities and monitoring their performance on shift to shift basis. Pr...,"production, Press Rolling, Press, sheet metal, Casting, rolling, coating, Production Planning Control",8,https://www.naukri.com/job-listings-head-production-frp-jindal-aluminium-bangalore-bengaluru-15-to-20-years-010923006568
C# .Net Core Angular8+ version,Tech Mahindra,6.0,11.0,Bangalore Rural,Job Type : Permanent . Job Title: Dotnet core with Agular . Work Timings : General Shif...,"C#, Angular 8, .Net core, Azure, Web Api, Microservices, Core, Angular",21,https://www.naukri.com/job-listings-c-net-core-angular8-version-tech-mahindra-bangalore-rural-6-to-8-years-281124018160
Hub Incharge & Team leader,Flipkart,4.0,6.0,Kancheepuram,"Diverse background with BE, B.Tech, or MBA; strong operational management skills|Overse...","Last Mile Delivery, Team leading, Team, Last Mile, Delivery, Leadership, Hub",2,https://www.naukri.com/job-listings-hub-incharge-team-leader-flipkart-kancheepuram-4-to-8-years-220724004213
Technical Facility Executive,Compass Group,3.0,4.0,Bengaluru(CV Raman Nagar),Role & responsibilities Urgently looking for Technical Facility Executive for CV Raman ...,"Building Maintenance, technical, Floor Management, Flooring, Building, Management, Maintenance, Facilities",29,https://www.naukri.com/job-listings-technical-facility-executive-compass-group-bengaluru-3-to-6-years-201124007820
Engineering Manager - Instrumentation,Larsen & Toubro (L&T),4.0,13.0,Chennai,Role & responsibilities Preparation & Review of P&ID diagramPreparation of Datasheets ...,"PLC, Instrument Index, Instrumentation, Field Instrumentation, Design Engineer, Control Valves, Instrumentation Design, Control System",2,https://www.naukri.com/job-listings-engineering-manager-instrumentation-larsen-toubro-l-t-chennai-4-to-9-years-201124005217
Civil & Structural Designer,Adani Petrochemical,12.0,20.0,Ahmedabad,Periodic review and appove MTO during Execution stage . Review of 3D model and take par...,"Structural Design, Civil Design, Structural Engineering, Design Calculations, Staad Pro, Staad, Engineering, Civil",0,https://www.naukri.com/job-listings-civil-structural-designer-adani-petrochemical-ahmedabad-12-to-20-years-191224013308
Senior Executive - Production,Jubilant Pharmova Limited,4.0,7.0,Bharuch,Ensure that PCs are following their regular shift as per shift schedule . Help shift se...,"Production, Batch Processing, Batch, Process, Processing, Senior",0,https://www.naukri.com/job-listings-senior-executive-production-jubilant-pharmova-limited-bharuch-4-to-7-years-191224013129
Senior Engineer Power Plant,Jubilant Pharmova Limited,5.0,7.0,Bharuch,Good Knowledge of Permit to work system and safety compliancesPrefer BOE Certification ...,"Cfbc, DCS, Dc, Senior, Plant, Power plant",0,https://www.naukri.com/job-listings-senior-engineer-power-plant-jubilant-pharmova-limited-bharuch-5-to-8-years-191224008892
Android Application Developer (Automotive ),Tata Elxsi,4.0,15.0,Coimbatore,"Experience in:Using Graphics API like OpenGL, OpenGL ES, GLSL, HLSL, etc.Developing HM...","java, kotlin, Automotive, Android, Infotainment, Multimedia, Android Application Development, HAL",0,https://www.naukri.com/job-listings-android-application-developer-automotive-tata-elxsi-coimbatore-4-to-9-years-191224007543
Android Application Developer - Automotive/Infotainment,Tata Elxsi,4.0,15.0,Coimbatore,"Experience in:Using Graphics API like OpenGL, OpenGL ES, GLSL, HLSL, etc.Developing HM...","java, kotlin, Automotive, Android, Infotainment, Multimedia, Android Application Development, HAL",0,https://www.naukri.com/job-listings-android-application-developer-automotive-infotainment-tata-elxsi-coimbatore-4-to-9-years-191224007408
Dot Net Developer - Gurgaon Sector 62,Tech Mahindra,5.0,15.0,Gurugram,Shift timings: 12:00 PM to 8:30 PM / 1:30 PM to 10:00 PM IST . Title / Role: Dot Net De...,"VB.NET, API development, ASP.NET, WCF, MS-SQL Server, C#, SSIS and/or web services, JS",0,https://www.naukri.com/job-listings-dot-net-developer-gurgaon-sector-62-tech-mahindra-gurugram-5-to-7-years-191224006008
Executive Environment,Jubilant Pharmova Limited,3.0,4.0,Bharuch,"Centralized Hazardous wastes management & disposal, E-manifest preparation, records and...","Lab Analysis, Hazardous Wastes, Analysis, Lab, Environment, Waste management",0,https://www.naukri.com/job-listings-executive-environment-jubilant-pharmova-limited-bharuch-3-to-5-years-191224005482
Shift Incharge Production,Jubilant Pharmova Limited,4.0,6.0,Bharuch,Position : Shift In charge Production ( Continuous process) Controlling all operating p...,"DCS Operation, Continuous Process, Operations, Production, DCS, Dc, Process",0,https://www.naukri.com/job-listings-shift-incharge-production-jubilant-pharmova-limited-bharuch-4-to-8-years-191224005304
"Quality Executive (Process Chemist, Line chemist)",Varun Beverages Limited,2.0,3.0,Kota,Experience in Quality Assurance with knowledge of best practices|Ensure product quality...,"Responsibility for Quality Assurance from raw material to finished product, Ensuring product quality at standard with Quality best practices., Quality, Raw, Line, Materials, Finished products, Raw material",1,https://www.naukri.com/job-listings-quality-executive-process-chemist-line-chemist-varun-beverages-limited-kota-2-to-4-years-181224017392
Purchase Officer,Uflex,5.0,30.0,Noida,Preferred candidate profile . .,"Procurement- /Mechanical OEM Items sourcing, Techno commercial Acumen, Vendor Management, Inventory Management Solutions, Commercial, Vendor, Management, Mechanical",1,https://www.naukri.com/job-listings-purchase-officer-uflex-noida-5-to-10-years-181224014442
"Reliance Jio is hiring ""Home Connect Master Supervisor""",Jio,5.0,3.0,"Peddapalli, Kothagudem(Palwancha +1)",Source and train technicians by teeing up with target colleges Preferred Industry: Tele...,"Team Management, Customer Complaints, Product Service, Tool Maintenance, Customer Handling, Complaints, Hiring, Team",1,https://www.naukri.com/job-listings-reliance-jio-is-hiring-home-connect-master-supervisor-jio-peddapalli-kothagudem-5-to-8-years-181224013647
Design Engineer SPM,Quest Global,3.0,5.0,Chennai,Bachelor's degree in Mechanical/Automobile Engineering with 3-5 years of experience in ...,"SPM, Solid Works, Special Purpose Machines, Conveyors, Pneumatics, Design, Solid, Design engineering",1,https://www.naukri.com/job-listings-design-engineer-spm-quest-global-chennai-3-to-7-years-181224012684
Assistant Manager - Facilities Management,Delhivery,4.0,6.0,Varanasi,Required -. minimum Diploma in Electrical OR BE/ BTech in Electrical Engineering . 4+ Y...,"Property Management, Technical Services, Facilities Management, Soft Services, Facility Management, Servicing, Property, Soft",1,https://www.naukri.com/job-listings-assistant-manager-facilities-management-delhivery-ltd-varanasi-4-to-8-years-181224010821
Industrial Engineer - Winding,TBEA,4.0,8.0,Vadodara,Experience: Minimum 4 years of relevant experience in the winding department of a power...,"Winding, Production, Process Improvement, 220 kV Transformers, Manufacturing, Six Sigma, Lean Manufacturing, Quality Control",1,https://www.naukri.com/job-listings-industrial-engineer-winding-tbea-vadodara-4-to-9-years-181224008122
Civil Engineer - Alibag,Lodha Group,3.0,5.0,Alibag,Hiring eligibility: . BE / BTech/Diploma in civil engineering (Full time) with 3+ years...,"Civil Engineering, High Rise Building, Civil Construction, Residential, Township, Site Supervision, Site Execution, Building Construction",2,https://www.naukri.com/job-listings-civil-engineer-alibag-lodha-group-alibag-3-to-8-years-171224909665
MEP Engineer - Alibag,Lodha Group,9.0,12.0,Alibag,Practice : 9+ years experience in real estate or construction company. Educational Qual...,"MEP Execution, Plumbing, High Rise Building, MEP, Fire Fighting, Electrical Engineering, Fighting, Execution",2,https://www.naukri.com/job-listings-mep-engineer-alibag-lodha-group-alibag-9-to-14-years-171224909628
Product Specialist (PPC & Project Management) Bawal,Flsmidth,6.0,10.0,Bawal,Bachelors degree in engineering or a related fieldMinimum of 3 plus years of Experience...,"PPC, Production Planning Control, Project Management, Material Planning, Inventory Control, Inventory Planning, Project, Control",2,https://www.naukri.com/job-listings-product-specialist-ppc-project-management-bawal-flsmidth-bawal-6-to-11-years-171224014972
Executive Hub Operations,Flipkart,1.0,2.0,Raigarh,Provide support to the Wish Masters enroute and take necessary actions.,"Warehouse Operations, Supply Chain Management, Operations, Supply Chain, Supply Chain Operations, Logistics, Management, Warehouse",2,https://www.naukri.com/job-listings-executive-hub-operations-flipkart-raigarh-1-to-4-years-171224011510
Turbine DCS Engineer For Captive power Plant ( WHRB & Turbine),THERMAX,3.0,4.0,Mundra,Qualification : B Tech / BE/Diploma Required Turbine DCS Engineer for Captive Power Pla...,"Turbine DCS Engineer, WHRB, Plant, Captive power plant, DCS, Captive, Dc, Turbine",2,https://www.naukri.com/job-listings-turbine-dcs-engineer-for-captive-power-plant-whrb-turbine-thermax-mundra-3-to-6-years-171224006719
Executive Maintenance Engineer,Varun Beverages Limited,3.0,5.0,Kota,Experience in maintenance engineering with relevant technical skills|Responsibilities i...,"Maintenance Engineering, Maintenance, Engineering",2,https://www.naukri.com/job-listings-executive-maintenance-engineer-varun-beverages-limited-kota-3-to-6-years-171224004023
Autosar Developer,Tata Elxsi,3.0,1.0,"Bengaluru, Thiruvananthapuram",5+ years of experience in AUTOSAR development with strong analytical and leadership ski...,"AUTOSAR, Rte, Mcal, bsw, Davinci, AUTOSAR Development, Development",20,https://www.naukri.com/job-listings-autosar-developer-tata-elxsi-bengaluru-thiruvananthapuram-3-to-8-years-140824010654
Utility Electrician- Dodballapur- (Bangalore),Jubilant FoodWorks (JFL),2.0,2.0,Dod Ballapur,associates or bachelors degree in Electrical Technology or related field preferred *Req...,"Electrical Maintenance, Boiler, PLC, VFD, Electrical Installation, Transformers, Chillers, Compressors",8,https://www.naukri.com/job-listings-utility-electrician-dodballapur-bangalore-jubilant-foodworks-jfl-dod-ballapur-2-to-7-years-111224003556
Customer Care Executive,Teleperformance (TP),0.0,0.0,Kolkata,Preferred candidate profile . we are looking for Civil engineer who can speak Odia lang...,"Civil engineer, odia, Customer Service, Civil engineering, Customer care, Civil",1,https://www.naukri.com/job-listings-customer-care-executive-teleperformance-tp-kolkata-0-to-2-years-101224020805
Sr.Tender Executive,Reliance Elektrik Works,3.0,3.0,Ghaziabad,Minimum Qualification :-B.tech in electrical. . Job Location:- Ghaziabad/ Surya Nagar. ...,"Bid Evaluation, Tendering, Evaluation, Bidding",2,https://www.naukri.com/job-listings-sr-tender-executive-reliance-elektrik-works-ghaziabad-3-to-6-years-100824006852
Senior Design Engineer SPM,Quest Global,3.0,5.0,Chennai,Proficient in 3D modeling and drafting using Solidworks : Required Skills (Technical C...,"SPM, Solid Works, Special Purpose Machine, SPM Design, Pneumatics, Design, Solid, Design engineering",2,https://www.naukri.com/job-listings-senior-design-engineer-spm-quest-global-chennai-3-to-8-years-070224004561
Python Automation Engineer - Bangalore - Immediate Joiner,Capgemini,6.0,12.0,Bengaluru,"Kubernetes: Hands-on experience with Kubernetes, including cluster management, configur...","python automation, Python Testing, Pytest, Kubernetes, Automation, Python, Software testing",17,https://www.naukri.com/job-listings-python-automation-engineer-bangalore-immediate-joiner-capgemini-bengaluru-6-to-11-years-021224013843
.Net Lead,Tech Mahindra,8.0,12.0,Bangalore Rural,"8+ years of experience in Azure DevOps, C#, .Net Framework (4.8 and above), and strong ...","Linq, ADO.net, Winforms, Azure Devops, .Net 8, C#, sql, .Net",17,https://www.naukri.com/job-listings-net-lead-tech-mahindra-bangalore-rural-8-to-12-years-021224003672
