Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Application Tech Support Practitioner,Accenture,5.0,,Ahmedabad,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"switching, network security, networking, troubleshooting, network security management, tcp, project management, cyber security",0,https://www.naukri.com/job-listings-application-tech-support-practitioner-accenture-solutions-pvt-ltd-ahmedabad-5-to-10-years-191224911863
Security Consultant-SIEM Admin L2,IBM,4.0,,Mumbai,Ability to multitask and work independently with minimal direction and maximum accounta...,"arcsight, siem, incident response, qradar, security operations management, it security, security compliance, soc",14,https://www.naukri.com/job-listings-security-consultant-siem-admin-l2-ibm-india-pvt-limited-mumbai-4-to-9-years-051224915985
Application Developer,Accenture,3.0,,Mumbai,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","sap fi, accounting, process control, sap fico, financial accounting, c#, project management, sap",0,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-mumbai-3-to-8-years-191224913048
Application Tech Support Practitioner,Accenture,0.0,,Gurugram,Project Role :Application Tech Support PractitionerProject Role Description :Act as the...,"service management, technical infrastructure, service desk management, service desk, voice support, vendor management, project management, software development",2,https://www.naukri.com/job-listings-application-tech-support-practitioner-accenture-solutions-pvt-ltd-gurugram-0-to-2-years-161224916899
IMU- Industry X- RES- Senior Manager,Accenture,12.0,,Mumbai,Proven experience in successfully leading and managing complex client engagements withi...,"management consulting, machine learning, artificial intelligence, iot, big data, project implementation, manufacturing execution system, manufacturing engineering",5,https://www.naukri.com/job-listings-imu-industry-x-res-senior-manager-accenture-solutions-pvt-ltd-mumbai-12-to-14-years-131224921922
Application Developer,Accenture,3.0,,Mumbai,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","python, pyspark, machine learning algorithms, statistics, data munging, algorithms, power bi, dbms",13,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-mumbai-3-to-8-years-061224918897
Sap Abap Consultant (1+ years)-V,Infosys,1.0,,"Hyderabad, Pune, Bengaluru",Experience: 1+ years,"SAP ABAP, Sap Abap Hana, Sap Abap Development, Abap On Hana, Abap Development, SAP, SAP Hana, Abap",2,https://www.naukri.com/job-listings-sap-abap-consultant-1-years-v-infosys-hyderabad-pune-bengaluru-1-to-6-years-161224015144
Application Developer: Cloud Full Stack,IBM,3.0,,Bengaluru,"Proficient in Java 8+, Spring Boot, REST API, and CI/CD tools; experience with Docker a...","docker, jpa, rabbitmq, spring boot, grafana, container, continuous integration, kubernetes",1,https://www.naukri.com/job-listings-application-developer-cloud-full-stack-ibm-india-pvt-limited-bengaluru-3-to-7-years-181224918440
Software Development Engineer,Accenture,1.0,,Mumbai,Must have skills : SAP FI S / 4HANA Accounting. Good to have skills : NA. Educational Q...,"software development, sap fi, accounting, application development, debugging, c#, rest, visualforce",5,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-mumbai-1-to-4-years-141224905662
FIT - DATA Dev. - Senior Associate,Pricewaterhouse Coopers Private Limited,5.0,,Mumbai,"refer to specific PwC tax and audit guidance), the Firms code of conduct, and independe...","Claims, Coding, Analytical, Billing, Consulting, microsoft, SSIS, Operations",1,https://www.naukri.com/job-listings-fit-data-dev-senior-associate-pricewaterhouse-coopers-private-limited-mumbai-5-to-9-years-181224505429
